what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269283739569
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1269283739569
java.specification.name,sysinfo,,,"Java Platform API Specification",1269283739569
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269283739569
java.specification.version,sysinfo,,,"1.6",1269283739569
java.vendor,sysinfo,,,"Apple Inc.",1269283739569
java.version,sysinfo,,,"1.6.0_17",1269283739569
java.vm.info,sysinfo,,,"mixed mode",1269283739569
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1269283739569
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269283739569
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269283739569
java.vm.specification.version,sysinfo,,,"1.0",1269283739569
java.vm.vendor,sysinfo,,,"Apple Inc.",1269283739569
java.vm.version,sysinfo,,,"14.3-b01-101",1269283739569
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283776753
activated,view,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui.explorer",1269283778030
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1269283778723
error,log,,,"Problems occurred opening the selected resources.",1269283780170
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283780591
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283783566
started,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1269283788417
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283788438
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283788599
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283788958
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269283805476
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1269283807886
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1269283807934
